"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Roberts, Ethan",681799,"R",,"69.6","61.9",,,,,"63.5",
"Rogers, Tyler",643511,"R",,"72.9",,,,,"62",,
"Funderburk, Kody",681892,"L",,"75.1","61.7","77.6",,,"31.8","63.2",
"Mantiply, Joe",573009,"L",,"92.5",,"99.2",,"40.4",,,
"Borucki, Ryan",621366,"L",,"95","68.3",,"90.4",,"13.9","42.5",
"Alvarado, José",621237,"L",,"94.6","30.1",,,,,,
"Mayza, Tim",641835,"L",,"85.8",,,"85.6",,"17.5",,
"Topa, Justin",623437,"R",,"88.6","53.1","84.5",,,,"49.8",
"Mahle, Tyler",641816,"R","99.7","99","67.1",,"89.7",,"27.7",,
"Finnegan, Kyle",640448,"R","99.6",,,,"92.9",,"24.9",,
"Springs, Jeffrey",605488,"L","99.6",,"66.5","95.6",,,"29.9","56.8",
"Dreyer, Jack",676263,"L","99.6",,,,,"91.8","26.4",,
"Paddack, Chris",663978,"R","99.6","97","45.3","97.7",,"94.1",,"63.8",
"Stanek, Ryne",592773,"R","99.6","93.2",,,"95.5",,"20.1",,
"Parker, Mitchell",680730,"L","99.6",,,,,"63.4","33.4",,
"Richards, Trevor",670950,"R","99.5",,,"60.7",,,"25.5",,
"Myers, Tobias",668964,"R","99.5",,"73",,"74.4",,"39.9",,
"Klassen, George",691946,"R","99.5","99.6",,"98.9",,"60.1","16.5",,
"Blubaugh, AJ",805123,"R","99.5",,"43.9","79",,"77.2",,"47.5",
"Curvelo, Luis",681168,"R","99.5","99.6",,,"87.4",,"13.6",,
"Fernandez, Ryan",681676,"R","99.4",,,"84.5",,,"24.1",,
"Laweryson, Cody",689520,"R","99.4",,"23.3","86.6",,,,,
"Lee, Dylan",669276,"L","99.4",,,"99.3",,,"23.4",,
"Rodriguez, Grayson",680570,"R","99.4",,,"87.2",,"66.4","33.7",,
"Black, Mason",696131,"R","99.4","97.3","52.8","97.9",,,"13","45.5",
"Petersen, Michael",656848,"R","99.4",,,"94.6",,,"25.9",,
"Heuer, Codi",676051,"R","99.4",,,"97.6",,,"31.3",,
"Morgan, Eli",669212,"R","99.3",,,"86.7",,,"25",,
"Pushard, Matt",690155,"R","99.3",,,,,"52.2","40.7","43.7",
"Cornelio, Riley",683000,"R","99.3",,,,,,"11.3",,
"Urquidy, José",664353,"R","99.3","98.8",,"98.9",,"71.8",,"34.4",
"Petty, Chase",695534,"R","99.3","99.6",,"88.8",,,"20.3","31.6",
"Gray, Peyton",682608,"R","99.2",,,"95.2",,,"39.7",,
"Mize, Casey",663554,"R","99.2","98.3",,,"94.9",,"38.8",,"54.9"
"Duran, Jhoan",661395,"R","99.2",,,"81.9","91.2","47.1",,"43.8",
"Hurt, Kyle",669165,"R","99.2",,,"96.7",,,"12.6",,
"Ragans, Cole",666142,"L","99.2",,"41","99",,"92.9","18.5",,
"Giolito, Lucas",608337,"R","99.2",,,"99.3",,"88.6","33.9",,
"Kerkering, Orion",689147,"R","99","96.4",,,"93.5",,,"50.8",
"Erceg, Lucas",668674,"R","99","98.7",,"94.3",,,"29.8",,
"Williamson, Brandon",682227,"L","99","99.5","48.1","99.3",,"79.6",,"51.4",
"Yarbrough, Ryan",642232,"L","98.9","97.4","59.9","91.8",,,,"64.9",
"Bednar, David",670280,"R","98.9",,,,"74.8","59.9",,,
"Vanasco, Ricky",676568,"R","98.9",,,"95.6",,"76.6",,,
"Latz, Jacob",656641,"L","98.9",,,"98.2",,"70.5","31",,
"Falter, Bailey",663559,"L","98.8",,,,"88.3","44","44.4",,
"Yesavage, Trey",702056,"R","98.8",,,,"86.1",,"51.8",,
"Strider, Spencer",675911,"R","98.8",,,"86.5",,"52.8","34.8",,
"Garcia, Rico",670329,"R","98.8",,,"97.7",,"42.6","32",,
"Orze, Eric",679358,"R","98.8",,,,"74.2","65.2","41.6",,
"Henderson, Logan",701656,"R","98.8",,"60.7","93",,,"55.5",,
"Marinaccio, Ron",676760,"R","98.7",,"41.1","95.4",,,,"44.9",
"Harris, Hogan",663687,"L","98.7",,,"99.3",,"94.3","38",,
"Morris, Andrew",702193,"R","98.7","97.9","56","98.7",,"83.7",,"53.9",
"Wacha, Michael",608379,"R","98.7","97.5","66.4","78.9",,"78.3","32",,
"Márquez, Germán",608566,"R","98.7","95.9",,"87.7",,"15.4","37.2",,
"Farris, Mitch",815083,"L","98.6",,"62","99.3",,,"35.2",,
"Pallette, Peyton",688883,"R","98.6",,,,,"89.3","33.6",,
"Gordon, Colton",676467,"L","98.6","98.3",,"91.7",,,"32.4","36.9",
"Lodolo, Nick",666157,"L","98.6","98.7",,"96.4",,"48.7",,,
"Nelson, Ryne",669194,"R","98.5","97.2","78.7",,,"58.6","33.6",,
"Imanaga, Shota",684007,"L","98.5","87.5",,,"92.6","82.9",,"43",
"Mears, Nick",683232,"R","98.4","93.7",,"91.4",,"82.5","32.6",,
"Tong, Jonah",804636,"R","98.4",,"66.3","98.3",,"70.2",,,
"Estrada, Jeremiah",669093,"R","98.4",,,,"99.3",,"39.2",,
"Detmers, Reid",672282,"L","98.3","97.1",,"96.4",,"90.7","37",,
"Mattson, Isaac",676755,"R","98.3",,,"96.7",,,"27.9",,
"Montgomery, Mason",682254,"L","98.2",,,"83.2",,"42","19.9",,
"Dotel, Wilber",696062,"R","98.2",,"52","96.8",,,"28.2",,
"Baumler, Carter",691945,"R","98.1",,,,,"71.1","43.4",,
"Cantillo, Joey",676282,"L","98.1",,"37.9","99.1",,"93.6","52",,
"Sheehan, Emmet",686218,"R","98.1",,,"98.8",,"85.9","25.9",,
"Gordon, Tanner",685299,"R","98.1","99.8",,"97.4",,"30.1","43.1",,
"Hoffman, Jeff",656546,"R","98.1","98.5",,,"91.5",,"13.7",,
"Quantrill, Cal",615698,"R","98","97.1","33.9",,"95.4","54.7",,,
"Gausman, Kevin",592332,"R","98",,,,"78.5",,"17.9",,
"Beck, Tristan",663941,"R","98",,,,,,"30.2","60.9",
"Davila, Nick",689546,"R","98","91.5",,,,,"45.7",,
"Barco, Hunter",682995,"L","98","97.7",,"98.3","95.8",,"46.1","54.7",
"Hicks, Jordan",663855,"R","98","95.1",,,,,,"23.7",
"Vesia, Alex",681911,"L","98",,,"98.9",,,"43",,
"Strahm, Matt",621381,"L","97.9","97.7","53.8","82.5",,,"21.1",,
"Peralta, Wandy",593974,"L","97.9","96.8",,"86",,,"37.4",,
"Varland, Gus",681402,"R","97.8",,,"91.6",,,"14.7",,
