"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Kikuchi, Yusei",579328,"L","95",,"56.4","87.2",,"32.1","34.9",,
"Krehbiel, Joey",607216,"R","95",,"40.4","95.1",,,,,
"Manaea, Sean",640455,"L","95","96.7",,"94.7",,,"26.2","41.3",
"Peterson, David",656849,"L","95","95.6",,"98.8",,"45.5","24.7",,
"Allard, Kolby",663465,"L","94.9",,"46.5","99",,"74.6",,,
"Anderson, Nick",623433,"R","94.9","96.4",,,,"14.5",,,
"DeSclafani, Anthony",543101,"R","94.9","93.4",,"97.2",,"70.4","35.5",,
"Alvarado, José",621237,"L","94.8","93.1","32.5",,,"58.8",,,
"Staumont, Josh",622251,"R","94.8","88.5",,,,"84.6",,,
"Arihara, Kohei",685503,"R","94.8","93.6","58","89.6","82.5","81.9","29.4",,
"Oviedo, Luis",665854,"R","94.8",,,"91.2",,"95.7","42",,
"LeBlanc, Wade",453281,"L","94.8","94.2","64.2","99",,"64.6",,,
"Bradley, Archie",605151,"R","94.7","95.1",,"98.4",,"78.4",,,
"Plutko, Adam",592644,"R","94.6",,"61.8",,,"70.5","38.5",,
"Tepera, Ryan",572193,"R","94.6","97.6",,"91.4",,,"35.3",,
"Núñez, Darien",628345,"L","94.6",,,"97.7",,,,,
"Ellis, Chris",595939,"R","94.6",,,"94.2",,"54.5","25.6",,
"Oswalt, Corey",621261,"R","94.5",,,"81.9",,,"40",,
"Miller, Shelby",571946,"R","94.5",,"51.9",,,,,"62.2",
"Skubal, Tarik",669373,"L","94.5","94.2",,"97.8","93.8","82.9","27.3",,
"Stock, Robert",476594,"R","94.4",,"26.7","93.7",,,"42.1",,
"Kelly, Joe",523260,"R","94.4","93",,"98.3",,"62.3",,,
"deGrom, Jacob",594798,"R","94.4",,,"89.9",,,"34.3",,
"Foley, Jason",671345,"R","94.4","92.6",,,,,"30.6",,
"Wells, Tyler",669330,"R","94.3",,"49.4","96.3",,"54.8",,,
"Gilbert, Logan",669302,"R","94.2","94.7","34.9","97.8","79.7","69.5","36.2",,
"Anderson, Chase",502624,"R","94.2","93.5","51.9","99.6",,"91.9","28.9",,
"Sanchez, Aaron",592717,"R","94.1","92.4",,"97.9",,"80.8",,,
"Javier, Cristian",664299,"R","94.1",,,"97.1",,"80.7","34.8","39.9",
"Merryweather, Julian",657240,"R","94",,,"95.6",,"89.6","26.5",,
"Tate, Dillon",622253,"R","94","92.2","25.6","99.1",,,,,
"Anderson, Drew",623454,"R","94",,,"95.2",,"78.3","28",,
"Brice, Austin",592169,"R","93.9","95.7",,,,"39.2",,,
"Cortes, Nestor",641482,"L","93.9","92.4","40.2","98.5",,,,"45.4",
"Feyereisen, J.P.",656420,"R","93.9",,,"89.9",,,"28.1",,
"Alexy, A.J.",669935,"R","93.9",,,"92.1",,"92.1","46.3",,
"Hendricks, Kyle",543294,"R","93.8","86.7",,"87.3",,"81.1",,,
"Lange, Alex",656638,"R","93.8",,,"96.9",,"59.6",,,
"Gonsolin, Tony",664062,"R","93.7",,,,"91.2","69.1","27.4",,
"Smith, Joe",501925,"R","93.7","95.8",,"97.4",,,"56.7",,
